cp_matnumber,cp_matlabel,cp_xposition,cp_yposition,cp_matwidth,cp_matheight,cp_defaultxposition,cp_defaultyposition,cp_render,cp_standardmat,cp_matgender,cp_fillcolor,cp_strokecolor,cp_matid
102,102,1512,755,145,67,1512,755,true,true,Female,#A0A972,#F7FF6B,be7305fe-1a6c-f111-ab0f-7ced8da5852f
103,103,1512,830,145,67,1512,830,true,true,Female,#A0A972,#F7FF6B,bf7305fe-1a6c-f111-ab0f-7ced8da5852f
104,104,1512,905,145,67,1512,905,true,true,Female,#A0A972,#F7FF6B,c07305fe-1a6c-f111-ab0f-7ced8da5852f
105,105,1512,980,145,60,1512,980,true,true,Female,#A0A972,#F7FF6B,c17305fe-1a6c-f111-ab0f-7ced8da5852f
106,106,130,905,68,138,130,905,true,true,Female,#A0A972,#F7FF6B,c27305fe-1a6c-f111-ab0f-7ced8da5852f
107,107,1090,980,200,60,1090,980,true,false,,#A0A972,,5231ba23-a6b2-f111-aaae-7ced8da50854
108,108,1444,5,64,144,1444,5,true,true,,#A0A972,,c47305fe-1a6c-f111-ab0f-7ced8da5852f
109,109,1512,5,145,67,1512,5,true,true,,#A0A972,,c57305fe-1a6c-f111-ab0f-7ced8da5852f
110,110,1512,78,145,67,1512,78,true,true,,#A0A972,,c67305fe-1a6c-f111-ab0f-7ced8da5852f
,Basement,2,870,32,90,2,870,true,false,,#A0A972,,ca48152c-a6b2-f111-aaae-7c1e5253ff0a
,Client Entry,1585,340,68,78,1585,340,true,false,,#A0A972,,5ff61726-a6b2-f111-aaae-7c1e5253ff0a
,Concession Stand,404,980,340,60,404,980,true,false,,#A0A972,,b0a16c30-a6b2-f111-aaae-7ced8da50854
,Extra Mat,130,155,69,150,130,155,true,false,Male,#A0A972,#383838,16b4bdbe-e497-f111-b8dd-6045bd60d54a
,Fire Exit,25,5,72,448,25,5,true,false,Male,#A0A972,#383838,1402a3ae-5084-f111-8076-7c1e5253346f
,Nurse's Office,1295,5,144,144,1295,5,true,false,,#A0A972,,54f61726-a6b2-f111-aaae-7c1e5253ff0a
,OF 6,1270,985,150,69,1270,985,false,false,Male,#A0A972,#383838,212ae9b1-5384-f111-8076-7c1e5253346f
,OF 7,1110,985,150,69,1110,985,false,false,Male,#A0A972,#383838,5fab2fa0-5384-f111-8076-7c1e5253346f
,OF 8,950,985,150,69,950,985,false,false,Male,#A0A972,#383838,2e2a4f38-5384-f111-8076-7c1e5253346f
,OPS,2,530,32,76,2,530,true,false,,#A0A972,,f368712a-a6b2-f111-aaae-7ced8da50854
,Shift Office,1585,155,68,144,1585,155,true,false,,#A0A972,,5931ba23-a6b2-f111-aaae-7ced8da50854
,Wheelchair Priority,25,645,72,182,25,645,true,false,,#A0A972,,c348152c-a6b2-f111-aaae-7c1e5253ff0a
